Course ID,Subject Title,Units,Days,Begin,End,Location,Instructor(s),Department Name,Bldg,Room,Section
70350,Acting for Business,9.0,Tuesday Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Rivera Lebron,Business Administration,TEP,2702,A
70350,Acting for Business,9.0,Tuesday Thursday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Goyette,Business Administration,TEP,3808,B
70354,Communication: Social Media in Action,6.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Bevins,Business Administration,TEP,2613,A2
70371,Operations Management,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Kekre,Business Administration,TEP,2611,A
70371,Operations Management,9.0,Monday Wednesday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Kekre,Business Administration,TEP,2611,B
70371,Operations Management,9.0,Sunday Tuesday,08:30AM,09:45AM,"Doha, Qatar",Adeinat,Business Administration,CMB,2052,W
70381,Marketing I,9.0,Tuesday Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Stuettgen,Business Administration,TEP,3801,A
70381,Marketing I,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Stuettgen,Business Administration,TEP,2611,B
70381,Marketing I,9.0,Tuesday Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Stuettgen,Business Administration,TEP,2611,C
70381,Marketing I,9.0,Sunday Tuesday,10:00AM,11:15AM,"Doha, Qatar",Sharma,Business Administration,CMB,2052,W
70387,Strategy for High-Tech Products and Services,9.0,Monday Wednesday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Derdenger,Business Administration,TEP,2702,A
70391,Finance,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Albertus,Business Administration,TEP,3801,A
70391,Finance,9.0,Tuesday Thursday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Albertus,Business Administration,TEP,2611,B
70391,Finance,9.0,Tuesday Thursday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Albertus,Business Administration,TEP,2611,C
70391,Finance,9.0,Monday Wednesday,10:00AM,11:15AM,"Doha, Qatar",Farooqi,Business Administration,CMB,2052,W
70395,Funding Entrepreneurial Ventures,9.0,Tuesday,07:00PM,09:50PM,"Pittsburgh, Pennsylvania",Bollinger,Business Administration,TEP,2610,A
70395,Funding Entrepreneurial Ventures,9.0,Monday Wednesday,02:30PM,03:45PM,"Doha, Qatar",Hakim,Business Administration,CMB,1190,W
70398,International Finance,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Khokher,Business Administration,TEP,2701,A
70401,Management Game,12.0,Monday Wednesday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Lamont,Business Administration,TEP,2611,A
70401,Management Game,12.0,Tuesday Thursday,08:00AM,09:20AM,"Pittsburgh, Pennsylvania",Lamont,Business Administration,TEP,2611,B
70415,Introduction to Entrepreneurship,9.0,Tuesday Thursday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Meyer Grelli,Business Administration,TEP,2610,A
70415,Introduction to Entrepreneurship,9.0,Tuesday Thursday,12:30PM,01:50PM,"Pittsburgh, Pennsylvania",Meyer Grelli,Business Administration,TEP,2700,B
70415,Introduction to Entrepreneurship,9.0,Monday Wednesday,10:00AM,11:15AM,"Doha, Qatar",Hakim,Business Administration,CMB,2049,W
70424,Corporate Financial and Sustainability Reporting,9.0,Tuesday Thursday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Zhang,Business Administration,TEP,2613,A
70428,Financial Statement Analysis,9.0,Monday Wednesday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",Bonaldi,Business Administration,TEP,2612,A
70437,Strategic Management and Innovation,9.0,Tuesday Thursday,11:00AM,12:20PM,"Pittsburgh, Pennsylvania",Hahl,Business Administration,TEP,2612,A
70438,Commercialization and Innovation,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Sirbu,Business Administration,TEP,2612,A
70440,Corporate Strategy,9.0,Monday Wednesday,04:00PM,05:15PM,"Doha, Qatar",Fadlallah,Business Administration,CMB,1190,W
70443,Digital Marketing and Social Media Strategy,9.0,Sunday Tuesday,02:30PM,03:45PM,"Doha, Qatar",Sharma,Business Administration,CMB,1190,W
70447,Client Consulting Project: Strategic Management of the Enterprise,12.0,Schedule will be added,NA,NA,"Pittsburgh, Pennsylvania",Kekre,Business Administration,DNM,DNM,A
70452,Introduction to Product Management,9.0,Monday Wednesday,02:00PM,03:20PM,"Pittsburgh, Pennsylvania",Monroe,Business Administration,TEP,2610,A
70455,Data Management Fundamentals,9.0,Monday Wednesday,03:30PM,04:50PM,"Pittsburgh, Pennsylvania",Monroe,Business Administration,TEP,2610,A
70455,Data Management Fundamentals,9.0,Sunday Tuesday,11:30AM,12:45PM,"Doha, Qatar",Mathur,Business Administration,CMB,2147,W
70460,Mathematical Models for Consulting,9.0,Tuesday Thursday,09:30AM,10:50AM,"Pittsburgh, Pennsylvania",De Roux Uribe,Business Administration,TEP,2701,A
70460,Mathematical Models for Consulting,9.0,Sunday Tuesday,04:00PM,05:15PM,"Doha, Qatar",Safak,Business Administration,CMB,1031,W
